Timestamp,Email Address,Name,State,Who can you supervise?,Availability,Capacity
,jordan.brown@mail.net,Jordan Brown,NE,"Psychologist, Marriage and Family Therapist, Social Worker","Monday 8:00 AM, Tuesday 10:30 AM, Tuesday 3:30 PM, Tuesday 4:30 PM, Tuesday 6:00 PM, Wednesday 12:30 PM, Wednesday 2:30 PM, Wednesday 3:00 PM, Wednesday 4:30 PM, Thursday 11:30 AM, Thursday 1:30 PM, Thursday 3:00 PM, Thursday 6:00 PM, Friday 4:00 PM",3
,cameron.parker@mail.net,Cameron Parker,WV,Social Worker,"Monday 1:30 PM, Tuesday 10:00 AM, Tuesday 11:30 AM, Tuesday 12:30 PM, Tuesday 5:00 PM, Wednesday 8:00 AM, Thursday 9:00 AM, Thursday 4:00 PM, Thursday 5:00 PM, Friday 8:00 AM, Friday 9:00 AM, Friday 2:00 PM, Friday 5:30 PM, Friday 6:00 PM",2
,rowan.hernandez@example.com,Rowan Hernandez,SC,Psychologist,"Monday 8:00 AM, Monday 2:30 PM, Monday 5:00 PM, Tuesday 9:30 AM, Tuesday 1:00 PM, Wednesday 11:30 AM, Wednesday 12:30 PM, Thursday 8:00 AM, Thursday 1:00 PM, Thursday 4:30 PM, Thursday 6:00 PM, Friday 10:00 AM, Friday 10:30 AM, Friday 11:30 AM, Friday 2:00 PM, Friday 3:00 PM",3
,cameron.patel@example.com,Cameron Patel,VT,"Psychologist, Social Worker, Marriage and Family Therapist","Monday 4:30 PM, Tuesday 5:30 PM, Wednesday 3:00 PM, Wednesday 4:00 PM, Wednesday 4:30 PM, Thursday 10:00 AM, Thursday 12:00 PM, Thursday 2:30 PM, Friday 8:30 AM, Friday 2:00 PM, Friday 5:00 PM",6
,kendall.martinez@sample.org,Kendall Martinez,OK,"Counselor, Marriage and Family Therapist","Monday 12:30 PM, Tuesday 12:30 PM, Tuesday 1:00 PM, Tuesday 2:00 PM, Tuesday 2:30 PM, Tuesday 3:00 PM, Tuesday 3:30 PM, Wednesday 3:00 PM, Wednesday 3:30 PM, Wednesday 6:00 PM, Thursday 9:30 AM, Thursday 4:30 PM, Thursday 5:00 PM, Friday 11:30 AM, Friday 2:00 PM, Friday 3:00 PM, Friday 3:30 PM",6
,taylor.lee@example.com,Taylor Lee,IA,"Counselor, Marriage and Family Therapist","Monday 9:00 AM, Monday 11:30 AM, Monday 12:00 PM, Tuesday 10:30 AM, Wednesday 8:00 AM, Wednesday 11:30 AM, Wednesday 1:00 PM, Wednesday 1:30 PM, Wednesday 4:30 PM, Thursday 11:00 AM, Thursday 1:30 PM, Friday 10:30 AM, Friday 3:00 PM",6
,peyton.jenkins@sample.org,Peyton Jenkins,MN,"Psychologist, Counselor","Monday 9:30 AM, Tuesday 8:00 AM, Tuesday 11:30 AM, Tuesday 2:30 PM, Wednesday 8:30 AM, Wednesday 11:30 AM, Wednesday 12:30 PM, Wednesday 2:30 PM, Wednesday 4:30 PM, Wednesday 6:00 PM, Thursday 11:00 AM, Thursday 3:00 PM, Friday 8:30 AM, Friday 9:00 AM, Friday 12:00 PM, Friday 1:00 PM, Friday 1:30 PM, Friday 5:00 PM",6
,finley.wilson@mail.net,Finley Wilson,"PA, OR, TX",Social Worker,"Monday 11:00 AM, Monday 1:00 PM, Monday 4:30 PM, Tuesday 9:00 AM, Tuesday 11:00 AM, Tuesday 1:30 PM, Tuesday 2:00 PM, Tuesday 3:00 PM, Tuesday 6:00 PM, Wednesday 8:30 AM, Wednesday 11:00 AM, Wednesday 1:30 PM, Wednesday 4:00 PM, Wednesday 4:30 PM, Friday 2:00 PM, Friday 2:30 PM",6
,riley.martinez@example.com,Riley Martinez,MN,Social Worker,"Monday 9:00 AM, Monday 9:30 AM, Monday 4:00 PM, Monday 5:30 PM, Tuesday 10:00 AM, Tuesday 12:30 PM, Tuesday 1:00 PM, Wednesday 5:00 PM, Thursday 4:00 PM, Friday 2:00 PM",6
,quinn.parker@example.com,Quinn Parker,KY,"Counselor, Marriage and Family Therapist","Monday 9:30 AM, Monday 2:30 PM, Monday 6:00 PM, Tuesday 5:00 PM, Wednesday 11:00 AM, Wednesday 12:00 PM, Thursday 1:00 PM, Thursday 1:30 PM, Friday 9:00 AM, Friday 3:30 PM, Friday 6:00 PM",3
,skyler.bennett@example.com,Skyler Bennett,SD,Social Worker,"Monday 10:30 AM, Monday 12:00 PM, Monday 3:30 PM, Wednesday 9:00 AM, Wednesday 10:30 AM, Wednesday 2:00 PM, Thursday 10:30 AM, Thursday 12:30 PM, Thursday 2:30 PM, Friday 8:00 AM, Friday 9:30 AM, Friday 4:00 PM, Friday 4:30 PM, Friday 5:30 PM",4
,riley.nguyen@example.com,Riley Nguyen,NY,Psychologist,"Monday 5:30 PM, Tuesday 8:30 AM, Tuesday 2:30 PM, Wednesday 2:30 PM, Wednesday 4:00 PM, Wednesday 5:30 PM, Thursday 9:30 AM, Thursday 10:30 AM, Thursday 3:30 PM, Thursday 5:00 PM, Thursday 6:00 PM, Friday 11:00 AM, Friday 12:30 PM, Friday 3:30 PM, Friday 5:30 PM",6
,peyton.davis@sample.org,Peyton Davis,KS,Marriage and Family Therapist,"Monday 9:30 AM, Tuesday 9:00 AM, Tuesday 11:00 AM, Tuesday 1:00 PM, Tuesday 2:00 PM, Tuesday 6:00 PM, Wednesday 8:30 AM, Wednesday 9:30 AM, Wednesday 11:00 AM, Wednesday 4:30 PM, Wednesday 6:00 PM, Thursday 8:00 AM, Thursday 12:30 PM, Thursday 3:30 PM, Friday 8:30 AM, Friday 2:00 PM, Friday 5:00 PM",6
,emerson.rivera@mail.net,Emerson Rivera,OK,Counselor,"Tuesday 12:30 PM, Wednesday 1:00 PM, Wednesday 3:30 PM, Wednesday 5:00 PM, Wednesday 6:00 PM, Thursday 12:00 PM, Thursday 5:30 PM, Friday 10:00 AM, Friday 11:30 AM, Friday 12:00 PM, Friday 2:30 PM",2
,emerson.bennett@sample.org,Emerson Bennett,VT,Marriage and Family Therapist,"Monday 3:30 PM, Tuesday 12:00 PM, Tuesday 1:30 PM, Tuesday 2:30 PM, Tuesday 5:00 PM, Wednesday 8:00 AM, Wednesday 9:00 AM, Wednesday 9:30 AM, Wednesday 2:00 PM, Wednesday 4:00 PM, Wednesday 5:00 PM, Thursday 10:00 AM, Thursday 11:30 AM, Friday 10:30 AM, Friday 1:30 PM",4
,kendall.nguyen@example.com,Kendall Nguyen,WI,"Counselor, Social Worker, Marriage and Family Therapist","Monday 8:30 AM, Monday 2:00 PM, Tuesday 8:30 AM, Tuesday 9:30 AM, Tuesday 12:00 PM, Tuesday 3:00 PM, Tuesday 3:30 PM, Tuesday 4:00 PM, Tuesday 4:30 PM, Wednesday 10:00 AM, Thursday 10:00 AM, Thursday 10:30 AM, Thursday 2:00 PM, Thursday 2:30 PM, Friday 11:00 AM, Friday 12:00 PM, Friday 2:30 PM",2
,kendall.chen@example.com,Kendall Chen,VT,Psychologist,"Monday 8:30 AM, Monday 11:00 AM, Monday 3:00 PM, Tuesday 9:00 AM, Tuesday 1:30 PM, Tuesday 3:30 PM, Wednesday 8:30 AM, Wednesday 3:00 PM, Wednesday 5:00 PM, Wednesday 5:30 PM, Thursday 1:00 PM",5
,finley.brown@sample.org,Finley Brown,"GA, OR","Social Worker, Psychologist","Tuesday 11:30 AM, Wednesday 11:00 AM, Wednesday 1:30 PM, Thursday 9:30 AM, Thursday 12:00 PM, Thursday 2:30 PM, Thursday 3:00 PM, Thursday 4:00 PM, Friday 2:30 PM, Friday 3:30 PM, Friday 4:30 PM",5
,sam.bailey@sample.org,Sam Bailey,NV,"Social Worker, Marriage and Family Therapist","Monday 1:00 PM, Monday 6:00 PM, Tuesday 8:30 AM, Tuesday 10:30 AM, Tuesday 11:00 AM, Tuesday 12:30 PM, Tuesday 2:00 PM, Thursday 11:30 AM, Thursday 4:30 PM, Friday 8:00 AM, Friday 2:30 PM",2
,emerson.bailey@sample.org,Emerson Bailey,RI,"Marriage and Family Therapist, Social Worker","Monday 12:30 PM, Tuesday 12:00 PM, Tuesday 2:00 PM, Tuesday 3:30 PM, Wednesday 4:00 PM, Thursday 2:00 PM, Thursday 4:30 PM, Friday 8:00 AM, Friday 9:30 AM, Friday 10:30 AM, Friday 11:00 AM, Friday 4:00 PM, Friday 4:30 PM",3
,harper.ramirez@sample.org,Harper Ramirez,IA,"Counselor, Psychologist, Social Worker","Monday 11:30 AM, Monday 3:30 PM, Tuesday 8:00 AM, Tuesday 3:30 PM, Tuesday 5:00 PM, Wednesday 3:00 PM, Wednesday 4:30 PM, Thursday 12:30 PM, Thursday 2:30 PM, Friday 1:30 PM, Friday 4:30 PM",5
,jordan.bailey@sample.org,Jordan Bailey,NY,"Social Worker, Marriage and Family Therapist","Monday 9:30 AM, Monday 1:30 PM, Tuesday 12:00 PM, Tuesday 1:30 PM, Tuesday 6:00 PM, Wednesday 2:30 PM, Thursday 1:00 PM, Thursday 3:00 PM, Friday 9:00 AM, Friday 1:00 PM",2
,skyler.davis@mail.net,Skyler Davis,OR,Counselor,"Monday 1:30 PM, Tuesday 9:00 AM, Tuesday 3:00 PM, Tuesday 6:00 PM, Wednesday 8:00 AM, Wednesday 9:00 AM, Wednesday 1:00 PM, Wednesday 2:30 PM, Wednesday 3:00 PM, Wednesday 5:00 PM, Wednesday 6:00 PM, Thursday 9:30 AM, Thursday 1:30 PM, Thursday 5:00 PM, Thursday 6:00 PM, Friday 8:30 AM, Friday 6:00 PM",3
,alex.jenkins@sample.org,Alex Jenkins,NY,"Psychologist, Marriage and Family Therapist","Monday 8:00 AM, Monday 1:30 PM, Monday 3:00 PM, Tuesday 1:30 PM, Tuesday 5:30 PM, Tuesday 6:00 PM, Wednesday 12:30 PM, Wednesday 4:00 PM, Thursday 9:00 AM, Friday 3:00 PM",6
,alex.bennett@sample.org,Alex Bennett,IL,"Marriage and Family Therapist, Psychologist, Counselor","Monday 9:30 AM, Monday 11:00 AM, Monday 3:30 PM, Monday 4:00 PM, Tuesday 10:30 AM, Tuesday 12:30 PM, Tuesday 2:30 PM, Tuesday 3:30 PM, Wednesday 3:00 PM, Wednesday 6:00 PM, Thursday 11:30 AM, Thursday 3:00 PM, Thursday 4:30 PM, Friday 10:30 AM, Friday 11:00 AM, Friday 2:30 PM, Friday 5:00 PM",6
,riley.reed@example.com,Riley Reed,CO,Social Worker,"Monday 3:30 PM, Monday 5:00 PM, Monday 5:30 PM, Tuesday 1:00 PM, Tuesday 2:30 PM, Tuesday 4:00 PM, Wednesday 11:30 AM, Wednesday 1:30 PM, Wednesday 4:00 PM, Wednesday 5:00 PM, Wednesday 5:30 PM, Thursday 8:00 AM, Thursday 9:00 AM, Thursday 11:30 AM, Thursday 5:30 PM, Friday 11:00 AM, Friday 11:30 AM",6
,elliot.chen@mail.net,Elliot Chen,FL,Marriage and Family Therapist,"Monday 8:00 AM, Monday 5:30 PM, Tuesday 2:30 PM, Tuesday 3:30 PM, Tuesday 4:30 PM, Wednesday 8:30 AM, Wednesday 3:30 PM, Wednesday 5:30 PM, Wednesday 6:00 PM, Thursday 8:30 AM, Thursday 10:30 AM, Thursday 1:30 PM, Thursday 2:00 PM, Friday 8:00 AM, Friday 12:00 PM, Friday 4:00 PM",6
,sam.davis@mail.net,Sam Davis,MA,Counselor,"Monday 10:30 AM, Monday 5:30 PM, Tuesday 12:00 PM, Tuesday 5:30 PM, Wednesday 11:00 AM, Wednesday 11:30 AM, Wednesday 1:00 PM, Wednesday 5:00 PM, Thursday 8:00 AM, Thursday 6:00 PM, Friday 8:00 AM, Friday 11:00 AM, Friday 1:30 PM, Friday 3:30 PM, Friday 4:30 PM, Friday 5:30 PM",3
,casey.hernandez@mail.net,Casey Hernandez,MI,Psychologist,"Monday 8:30 AM, Monday 12:30 PM, Monday 5:00 PM, Monday 5:30 PM, Wednesday 1:00 PM, Wednesday 4:00 PM, Wednesday 5:00 PM, Thursday 10:00 AM, Thursday 6:00 PM, Friday 12:00 PM, Friday 4:00 PM",4
,reese.davis@mail.net,Reese Davis,TN,Marriage and Family Therapist,"Monday 10:00 AM, Monday 12:00 PM, Monday 1:30 PM, Monday 2:00 PM, Tuesday 12:00 PM, Tuesday 12:30 PM, Tuesday 3:30 PM, Tuesday 5:30 PM, Wednesday 11:00 AM, Wednesday 2:30 PM, Wednesday 6:00 PM, Thursday 11:00 AM, Thursday 4:00 PM, Thursday 4:30 PM, Friday 9:30 AM, Friday 11:30 AM, Friday 1:30 PM, Friday 2:30 PM",2
,avery.lopez@sample.org,Avery Lopez,MD,Social Worker,"Monday 11:30 AM, Monday 5:00 PM, Tuesday 8:00 AM, Tuesday 8:30 AM, Tuesday 9:00 AM, Tuesday 1:00 PM, Tuesday 4:00 PM, Wednesday 9:30 AM, Wednesday 10:30 AM, Wednesday 1:00 PM, Wednesday 2:30 PM, Thursday 10:00 AM, Thursday 12:30 PM, Friday 9:30 AM, Friday 4:30 PM",5
,elliot.rivera@mail.net,Elliot Rivera,NY,"Counselor, Social Worker, Psychologist","Monday 8:30 AM, Monday 12:30 PM, Monday 6:00 PM, Tuesday 1:30 PM, Tuesday 3:30 PM, Wednesday 9:00 AM, Wednesday 3:00 PM, Wednesday 4:00 PM, Wednesday 4:30 PM, Thursday 11:00 AM, Thursday 2:00 PM, Friday 8:30 AM, Friday 9:00 AM, Friday 5:00 PM",5
,drew.martinez@mail.net,Drew Martinez,MD,Psychologist,"Monday 8:30 AM, Monday 9:00 AM, Monday 11:00 AM, Monday 2:30 PM, Tuesday 12:30 PM, Tuesday 3:00 PM, Tuesday 4:00 PM, Wednesday 9:30 AM, Wednesday 11:00 AM, Wednesday 12:00 PM, Thursday 12:30 PM, Thursday 1:00 PM, Friday 8:00 AM, Friday 9:30 AM, Friday 10:30 AM, Friday 1:30 PM, Friday 3:30 PM",5
,emerson.martinez@sample.org,Emerson Martinez,IA,"Marriage and Family Therapist, Social Worker, Psychologist","Monday 10:30 AM, Monday 2:00 PM, Monday 4:30 PM, Tuesday 5:00 PM, Wednesday 3:00 PM, Thursday 4:30 PM, Thursday 5:30 PM, Friday 8:00 AM, Friday 9:00 AM, Friday 9:30 AM, Friday 12:00 PM, Friday 2:00 PM, Friday 3:00 PM, Friday 4:00 PM",0
,sam.brooks@sample.org,Sam Brooks,CO,"Marriage and Family Therapist, Psychologist","Monday 4:00 PM, Tuesday 8:00 AM, Tuesday 8:30 AM, Tuesday 10:00 AM, Tuesday 1:30 PM, Tuesday 2:30 PM, Tuesday 4:00 PM, Wednesday 8:30 AM, Wednesday 10:00 AM, Wednesday 5:30 PM, Thursday 8:30 AM, Thursday 10:00 AM, Thursday 11:00 AM, Friday 1:30 PM, Friday 4:00 PM, Friday 5:30 PM",5
,reese.lopez@example.com,Reese Lopez,IA,"Psychologist, Marriage and Family Therapist, Counselor","Monday 8:30 AM, Monday 3:30 PM, Tuesday 2:00 PM, Wednesday 10:30 AM, Wednesday 12:00 PM, Wednesday 4:00 PM, Thursday 10:30 AM, Thursday 1:30 PM, Friday 9:00 AM, Friday 1:30 PM, Friday 4:30 PM",4
,peyton.lee@example.com,Peyton Lee,NM,Marriage and Family Therapist,"Monday 10:00 AM, Monday 10:30 AM, Monday 12:00 PM, Monday 3:00 PM, Monday 4:30 PM, Tuesday 4:30 PM, Wednesday 1:00 PM, Wednesday 4:30 PM, Thursday 8:00 AM, Thursday 5:00 PM, Thursday 5:30 PM, Thursday 6:00 PM, Friday 10:30 AM",3
,alex.lopez@mail.net,Alex Lopez,NJ,"Psychologist, Marriage and Family Therapist","Monday 10:00 AM, Monday 2:00 PM, Tuesday 11:00 AM, Tuesday 3:00 PM, Wednesday 10:30 AM, Wednesday 1:00 PM, Wednesday 1:30 PM, Wednesday 3:00 PM, Wednesday 6:00 PM, Thursday 3:30 PM, Thursday 6:00 PM, Friday 10:00 AM",3
,avery.ramirez@sample.org,Avery Ramirez,UT,"Marriage and Family Therapist, Social Worker","Monday 9:00 AM, Monday 11:00 AM, Monday 1:30 PM, Monday 3:30 PM, Monday 4:00 PM, Tuesday 9:30 AM, Tuesday 11:00 AM, Tuesday 1:00 PM, Tuesday 3:00 PM, Wednesday 8:00 AM, Wednesday 4:00 PM, Thursday 2:30 PM, Thursday 5:00 PM, Thursday 5:30 PM, Friday 8:00 AM, Friday 4:00 PM",3
,alex.garcia@example.com,Alex Garcia,OK,Counselor,"Monday 8:00 AM, Monday 3:00 PM, Monday 4:00 PM, Monday 5:00 PM, Tuesday 8:30 AM, Tuesday 1:30 PM, Tuesday 3:00 PM, Wednesday 8:00 AM, Thursday 11:00 AM, Thursday 2:30 PM, Friday 3:30 PM, Friday 4:00 PM, Friday 5:00 PM",2
,riley.ramirez@example.com,Riley Ramirez,"PA, MA",Counselor,"Monday 11:00 AM, Monday 12:00 PM, Monday 3:00 PM, Monday 4:00 PM, Wednesday 10:00 AM, Wednesday 1:30 PM, Wednesday 3:30 PM, Wednesday 5:00 PM, Thursday 9:00 AM, Thursday 10:00 AM, Thursday 2:00 PM, Friday 1:00 PM, Friday 1:30 PM, Friday 3:30 PM",6
,reese.chen@example.com,Reese Chen,AZ,"Marriage and Family Therapist, Counselor, Social Worker","Monday 12:30 PM, Monday 1:00 PM, Monday 2:30 PM, Wednesday 12:30 PM, Wednesday 2:00 PM, Wednesday 3:00 PM, Wednesday 5:30 PM, Wednesday 6:00 PM, Friday 9:30 AM, Friday 11:30 AM",3
,reese.martinez@example.com,Reese Martinez,SC,"Marriage and Family Therapist, Counselor, Psychologist","Monday 2:00 PM, Monday 3:00 PM, Tuesday 11:00 AM, Tuesday 12:00 PM, Wednesday 8:30 AM, Wednesday 1:00 PM, Wednesday 2:30 PM, Wednesday 3:30 PM, Wednesday 4:00 PM, Thursday 8:30 AM, Thursday 11:30 AM, Thursday 3:00 PM, Thursday 6:00 PM, Friday 10:30 AM, Friday 12:00 PM, Friday 3:00 PM, Friday 4:30 PM",2
