Timestamp,Email Address,Name,State,License Type,Availability
,finley.brooks@sample.org,Finley Brooks,AL,Marriage and Family Therapist,"Monday 1:00 PM, Tuesday 8:00 AM, Tuesday 1:00 PM, Wednesday 11:30 AM, Thursday 9:30 AM, Thursday 12:00 PM, Thursday 1:00 PM, Friday 12:00 PM, Friday 3:30 PM"
,casey.nguyen@mail.net,Casey Nguyen,FL,Marriage and Family Therapist,"Monday 12:00 PM, Monday 5:00 PM, Tuesday 8:00 AM, Tuesday 2:30 PM, Tuesday 3:00 PM, Wednesday 1:30 PM, Wednesday 2:30 PM, Thursday 8:00 AM"
,morgan.hernandez@sample.org,Morgan Hernandez,CA,Marriage and Family Therapist,"Tuesday 10:00 AM, Tuesday 1:00 PM, Wednesday 4:00 PM, Thursday 8:00 AM, Thursday 2:30 PM, Thursday 3:30 PM, Thursday 4:30 PM, Friday 12:00 PM"
,sam.lee@example.com,Sam Lee,AL,Psychologist,"Wednesday 8:00 AM, Wednesday 11:00 AM, Wednesday 2:30 PM, Wednesday 3:00 PM, Thursday 4:00 PM, Thursday 6:00 PM, Friday 5:00 PM, Friday 6:00 PM"
,elliot.kim@mail.net,Elliot Kim,MA,Counselor,"Tuesday 8:30 AM, Tuesday 4:00 PM, Tuesday 5:30 PM, Wednesday 12:00 PM, Wednesday 6:00 PM, Thursday 1:00 PM, Thursday 5:00 PM, Friday 10:00 AM, Friday 1:00 PM"
,skyler.reed@example.com,Skyler Reed,LA,Psychologist,"Monday 3:00 PM, Tuesday 9:00 AM, Tuesday 10:00 AM, Thursday 11:00 AM, Thursday 12:30 PM, Thursday 2:00 PM, Friday 9:30 AM, Friday 3:00 PM"
,drew.garcia@mail.net,Drew Garcia,"VA, IN, NH",Marriage and Family Therapist,"Monday 12:00 PM, Monday 4:30 PM, Tuesday 12:30 PM, Tuesday 1:30 PM, Tuesday 4:30 PM, Wednesday 1:00 PM, Thursday 8:00 AM, Thursday 5:00 PM, Friday 9:00 AM, Friday 10:00 AM, Friday 4:30 PM, Friday 6:00 PM"
,skyler.garcia@mail.net,Skyler Garcia,NV,Psychologist,"Wednesday 12:30 PM, Wednesday 3:30 PM, Wednesday 5:30 PM, Thursday 10:30 AM, Thursday 1:30 PM, Thursday 2:30 PM"
,cameron.kim@mail.net,Cameron Kim,VT,Psychologist,"Monday 10:00 AM, Monday 1:00 PM, Monday 2:30 PM, Wednesday 10:00 AM, Thursday 10:30 AM, Thursday 2:30 PM, Thursday 5:00 PM, Friday 10:30 AM, Friday 4:30 PM, Friday 5:30 PM"
,skyler.rivera@example.com,Skyler Rivera,MN,Counselor,"Monday 10:30 AM, Monday 2:30 PM, Wednesday 8:00 AM, Wednesday 12:30 PM, Wednesday 2:30 PM, Thursday 12:30 PM, Thursday 3:30 PM, Thursday 5:30 PM, Friday 9:00 AM, Friday 2:00 PM, Friday 4:30 PM"
,reese.garcia@example.com,Reese Garcia,IA,Counselor,"Monday 5:30 PM, Wednesday 10:30 AM, Wednesday 12:00 PM, Wednesday 4:30 PM, Thursday 8:30 AM, Thursday 2:00 PM, Friday 9:00 AM, Friday 10:00 AM, Friday 3:00 PM"
,riley.gonzalez@sample.org,Riley Gonzalez,NM,Social Worker,"Monday 1:00 PM, Monday 3:00 PM, Monday 5:00 PM, Tuesday 5:00 PM, Wednesday 8:30 AM, Wednesday 9:00 AM, Wednesday 1:30 PM, Friday 12:30 PM"
,quinn.clark@sample.org,Quinn Clark,ND,Psychologist,"Monday 12:00 PM, Monday 2:00 PM, Tuesday 5:30 PM, Wednesday 3:00 PM, Wednesday 3:30 PM, Wednesday 5:00 PM, Friday 10:30 AM, Friday 12:00 PM"
,jordan.chen@sample.org,Jordan Chen,VA,Social Worker,"Monday 2:30 PM, Tuesday 8:00 AM, Wednesday 8:30 AM, Thursday 5:30 PM, Friday 9:00 AM, Friday 5:00 PM"
,skyler.nguyen@mail.net,Skyler Nguyen,ID,Counselor,"Tuesday 9:00 AM, Tuesday 12:00 PM, Wednesday 12:30 PM, Wednesday 2:00 PM, Wednesday 4:30 PM, Thursday 12:00 PM, Thursday 4:30 PM, Friday 5:00 PM"
,morgan.martinez@example.com,Morgan Martinez,NV,Psychologist,"Tuesday 10:00 AM, Wednesday 2:00 PM, Wednesday 3:30 PM, Thursday 2:00 PM, Thursday 3:30 PM, Friday 1:00 PM"
,hayden.garcia@sample.org,Hayden Garcia,"IN, LA",Social Worker,"Monday 2:30 PM, Monday 3:00 PM, Tuesday 9:00 AM, Tuesday 10:00 AM, Tuesday 2:00 PM, Tuesday 6:00 PM, Wednesday 10:00 AM, Wednesday 4:00 PM, Thursday 10:30 AM, Friday 5:00 PM"
,alex.reed@mail.net,Alex Reed,ND,Marriage and Family Therapist,"Monday 3:00 PM, Tuesday 8:30 AM, Wednesday 9:00 AM, Wednesday 9:30 AM, Wednesday 11:30 AM, Wednesday 12:00 PM, Wednesday 4:00 PM, Thursday 2:00 PM, Thursday 3:30 PM, Thursday 4:00 PM"
,taylor.davis@mail.net,Taylor Davis,MD,Social Worker,"Monday 3:00 PM, Monday 3:30 PM, Monday 4:30 PM, Monday 5:00 PM, Tuesday 9:00 AM, Tuesday 12:30 PM, Tuesday 5:00 PM, Tuesday 5:30 PM, Wednesday 10:30 AM, Thursday 9:00 AM, Friday 10:00 AM"
,finley.rivera@sample.org,Finley Rivera,FL,Psychologist,"Tuesday 8:00 AM, Tuesday 8:30 AM, Tuesday 9:00 AM, Wednesday 6:00 PM, Thursday 10:30 AM, Thursday 12:00 PM, Thursday 5:00 PM, Thursday 5:30 PM, Friday 10:00 AM"
,hayden.clark@sample.org,Hayden Clark,ID,Marriage and Family Therapist,"Monday 8:30 AM, Monday 11:00 AM, Monday 4:30 PM, Tuesday 9:30 AM, Wednesday 9:30 AM, Wednesday 11:30 AM, Wednesday 3:30 PM, Wednesday 6:00 PM, Thursday 8:30 AM, Thursday 12:00 PM, Thursday 4:00 PM, Friday 6:00 PM"
,reese.reed@mail.net,Reese Reed,UT,Psychologist,"Monday 9:30 AM, Monday 1:00 PM, Tuesday 8:00 AM, Wednesday 3:00 PM, Wednesday 6:00 PM, Thursday 12:30 PM, Friday 11:00 AM, Friday 2:30 PM, Friday 4:30 PM"
,peyton.clark@example.com,Peyton Clark,LA,Counselor,"Tuesday 8:00 AM, Tuesday 3:30 PM, Wednesday 4:00 PM, Thursday 8:00 AM, Thursday 9:00 AM, Thursday 11:30 AM, Thursday 12:30 PM, Friday 1:30 PM, Friday 3:00 PM, Friday 3:30 PM"
,finley.clark@example.com,Finley Clark,LA,Marriage and Family Therapist,"Monday 10:30 AM, Monday 2:30 PM, Tuesday 11:00 AM, Wednesday 2:00 PM, Wednesday 3:00 PM, Thursday 11:00 AM, Friday 12:00 PM, Friday 1:00 PM, Friday 2:00 PM, Friday 2:30 PM"
,peyton.brown@mail.net,Peyton Brown,MD,Social Worker,"Monday 1:30 PM, Monday 3:30 PM, Tuesday 12:30 PM, Tuesday 2:00 PM, Wednesday 9:00 AM, Wednesday 3:00 PM, Friday 3:30 PM, Friday 5:30 PM, Friday 6:00 PM"
,dakota.nguyen@example.com,Dakota Nguyen,PA,Marriage and Family Therapist,"Monday 11:30 AM, Monday 4:30 PM, Tuesday 8:00 AM, Tuesday 10:30 AM, Wednesday 2:00 PM, Thursday 12:30 PM, Thursday 3:30 PM, Thursday 4:30 PM, Friday 11:00 AM, Friday 4:00 PM, Friday 5:30 PM, Friday 6:00 PM"
,peyton.wilson@sample.org,Peyton Wilson,RI,Counselor,"Monday 2:00 PM, Tuesday 2:30 PM, Tuesday 4:00 PM, Thursday 9:00 AM, Thursday 1:00 PM, Friday 9:00 AM, Friday 11:00 AM, Friday 6:00 PM"
,dakota.reed@example.com,Dakota Reed,NE,Social Worker,"Monday 4:00 PM, Monday 5:00 PM, Tuesday 1:00 PM, Tuesday 6:00 PM, Thursday 6:00 PM, Friday 10:30 AM, Friday 11:30 AM, Friday 2:30 PM"
,elliot.gonzalez@mail.net,Elliot Gonzalez,GA,Marriage and Family Therapist,"Monday 12:30 PM, Monday 1:30 PM, Wednesday 11:00 AM, Wednesday 12:30 PM, Wednesday 1:30 PM, Wednesday 3:30 PM, Thursday 9:00 AM, Thursday 5:00 PM, Friday 1:30 PM, Friday 3:00 PM, Friday 4:30 PM"
,jamie.brown@sample.org,Jamie Brown,MS,Psychologist,"Monday 8:00 AM, Monday 1:30 PM, Tuesday 6:00 PM, Wednesday 4:00 PM, Thursday 1:30 PM, Thursday 5:00 PM, Friday 8:30 AM, Friday 12:30 PM, Friday 3:30 PM"
,hayden.bennett@mail.net,Hayden Bennett,CA,Psychologist,"Tuesday 11:00 AM, Tuesday 2:30 PM, Tuesday 3:30 PM, Tuesday 6:00 PM, Wednesday 8:30 AM, Wednesday 2:00 PM, Thursday 8:00 AM"
,logan.nguyen@mail.net,Logan Nguyen,OR,Psychologist,"Monday 9:00 AM, Monday 10:30 AM, Monday 11:00 AM, Monday 2:00 PM, Monday 3:30 PM, Monday 6:00 PM, Wednesday 8:30 AM, Wednesday 4:00 PM, Thursday 4:30 PM, Friday 9:30 AM, Friday 2:30 PM, Friday 4:00 PM"
,skyler.brooks@sample.org,Skyler Brooks,NV,Counselor,"Monday 1:00 PM, Monday 1:30 PM, Monday 4:00 PM, Monday 6:00 PM, Tuesday 1:30 PM, Tuesday 3:00 PM, Tuesday 4:30 PM, Wednesday 10:00 AM, Wednesday 10:30 AM, Thursday 6:00 PM, Friday 8:30 AM"
,kendall.rivera@mail.net,Kendall Rivera,MT,Marriage and Family Therapist,"Monday 8:00 AM, Monday 1:30 PM, Monday 2:00 PM, Tuesday 11:00 AM, Tuesday 12:00 PM, Wednesday 2:00 PM, Wednesday 5:30 PM, Thursday 6:00 PM, Friday 10:30 AM, Friday 11:00 AM, Friday 2:00 PM"
,jamie.kim@example.com,Jamie Kim,IA,Psychologist,"Monday 8:30 AM, Monday 3:30 PM, Wednesday 8:30 AM, Wednesday 2:00 PM, Friday 10:30 AM, Friday 6:00 PM"
,emerson.cooper@mail.net,Emerson Cooper,CA,Counselor,"Monday 1:30 PM, Monday 2:30 PM, Monday 4:30 PM, Tuesday 4:30 PM, Tuesday 5:30 PM, Wednesday 10:30 AM, Wednesday 11:00 AM, Friday 12:30 PM, Friday 5:30 PM"
,peyton.hernandez@example.com,Peyton Hernandez,UT,Counselor,"Monday 8:30 AM, Tuesday 8:00 AM, Thursday 10:00 AM, Thursday 12:30 PM, Thursday 3:30 PM, Thursday 6:00 PM"
,peyton.brooks@sample.org,Peyton Brooks,IN,Counselor,"Monday 1:30 PM, Monday 2:00 PM, Monday 3:30 PM, Monday 4:30 PM, Tuesday 11:00 AM, Wednesday 3:00 PM, Thursday 3:30 PM, Friday 9:30 AM, Friday 2:00 PM"
,casey.clark@mail.net,Casey Clark,MN,Psychologist,"Monday 1:00 PM, Monday 4:30 PM, Tuesday 1:00 PM, Tuesday 3:00 PM, Thursday 11:30 AM, Thursday 2:30 PM, Thursday 5:30 PM, Friday 4:30 PM"
,cameron.clark@mail.net,Cameron Clark,ME,Social Worker,"Monday 11:00 AM, Tuesday 9:30 AM, Tuesday 10:30 AM, Tuesday 4:00 PM, Tuesday 4:30 PM, Wednesday 12:00 PM, Thursday 9:00 AM, Thursday 9:30 AM, Thursday 3:00 PM, Thursday 5:30 PM, Friday 8:00 AM, Friday 1:30 PM"
,kendall.hernandez@example.com,Kendall Hernandez,DE,Counselor,"Monday 8:30 AM, Monday 12:30 PM, Monday 4:00 PM, Tuesday 5:30 PM, Wednesday 10:00 AM, Wednesday 11:30 AM, Thursday 10:00 AM, Thursday 2:30 PM, Thursday 5:00 PM"
,riley.lopez@mail.net,Riley Lopez,OH,Counselor,"Monday 8:30 AM, Monday 9:00 AM, Monday 10:30 AM, Monday 11:30 AM, Monday 12:00 PM, Monday 12:30 PM, Tuesday 11:00 AM, Tuesday 2:00 PM, Wednesday 5:00 PM, Thursday 2:00 PM, Friday 3:00 PM, Friday 4:30 PM"
,logan.brown@sample.org,Logan Brown,SD,Psychologist,"Monday 1:00 PM, Monday 5:30 PM, Tuesday 3:00 PM, Tuesday 5:00 PM, Wednesday 12:30 PM, Thursday 10:30 AM, Thursday 3:30 PM, Thursday 5:00 PM, Friday 10:30 AM"
,morgan.bennett@example.com,Morgan Bennett,IN,Counselor,"Monday 12:00 PM, Tuesday 5:00 PM, Tuesday 6:00 PM, Wednesday 12:00 PM, Thursday 2:00 PM, Thursday 5:00 PM, Thursday 5:30 PM, Thursday 6:00 PM, Friday 9:30 AM, Friday 2:30 PM"
,alex.brooks@mail.net,Alex Brooks,KS,Social Worker,"Monday 11:30 AM, Monday 1:30 PM, Monday 3:00 PM, Wednesday 2:30 PM, Wednesday 4:00 PM, Thursday 3:00 PM, Thursday 3:30 PM"
,quinn.garcia@sample.org,Quinn Garcia,TX,Counselor,"Monday 8:30 AM, Monday 4:30 PM, Monday 6:00 PM, Thursday 8:00 AM, Friday 10:30 AM, Friday 11:00 AM"
,elliot.lopez@sample.org,Elliot Lopez,WA,Marriage and Family Therapist,"Monday 3:30 PM, Monday 4:00 PM, Tuesday 2:30 PM, Wednesday 10:30 AM, Friday 12:30 PM, Friday 1:30 PM, Friday 3:30 PM"
,morgan.parker@example.com,Morgan Parker,NV,Marriage and Family Therapist,"Monday 12:00 PM, Monday 12:30 PM, Tuesday 2:00 PM, Wednesday 10:00 AM, Wednesday 4:00 PM, Thursday 8:00 AM, Thursday 9:00 AM, Thursday 1:00 PM, Thursday 4:30 PM, Friday 11:30 AM"
,emerson.brooks@example.com,Emerson Brooks,OR,Counselor,"Monday 2:30 PM, Monday 3:00 PM, Monday 6:00 PM, Tuesday 1:30 PM, Thursday 1:00 PM, Friday 9:00 AM, Friday 12:00 PM, Friday 3:00 PM"
,sam.kim@example.com,Sam Kim,AL,Social Worker,"Monday 8:30 AM, Monday 10:00 AM, Monday 10:30 AM, Monday 5:30 PM, Tuesday 8:30 AM, Tuesday 1:00 PM, Wednesday 10:00 AM, Wednesday 11:30 AM, Wednesday 5:00 PM, Thursday 11:30 AM, Friday 11:30 AM, Friday 5:00 PM"
,quinn.nguyen@mail.net,Quinn Nguyen,IA,Marriage and Family Therapist,"Monday 12:30 PM, Tuesday 2:30 PM, Tuesday 5:30 PM, Wednesday 10:30 AM, Wednesday 1:30 PM, Thursday 1:00 PM, Friday 12:00 PM"
,dakota.clark@example.com,Dakota Clark,AR,Counselor,"Monday 10:30 AM, Monday 12:00 PM, Tuesday 3:30 PM, Wednesday 12:30 PM, Wednesday 4:30 PM, Thursday 9:30 AM, Friday 5:00 PM"
,jordan.lee@sample.org,Jordan Lee,OK,Psychologist,"Tuesday 10:00 AM, Tuesday 4:00 PM, Tuesday 4:30 PM, Wednesday 10:30 AM, Thursday 12:30 PM, Friday 4:00 PM"
,kendall.kim@mail.net,Kendall Kim,NJ,Marriage and Family Therapist,"Monday 5:30 PM, Tuesday 10:00 AM, Tuesday 1:00 PM, Thursday 8:00 AM, Thursday 11:00 AM, Friday 12:30 PM, Friday 2:30 PM, Friday 3:00 PM, Friday 3:30 PM, Friday 4:30 PM"
,drew.bailey@example.com,Drew Bailey,AK,Counselor,"Monday 8:00 AM, Monday 8:30 AM, Wednesday 8:00 AM, Wednesday 9:00 AM, Wednesday 11:00 AM, Thursday 5:00 PM, Friday 8:00 AM, Friday 10:00 AM, Friday 1:00 PM, Friday 2:30 PM"
,skyler.chen@mail.net,Skyler Chen,IN,Counselor,"Monday 10:30 AM, Monday 11:30 AM, Monday 1:30 PM, Monday 5:00 PM, Tuesday 12:00 PM, Tuesday 3:00 PM, Wednesday 6:00 PM, Thursday 9:30 AM, Friday 11:30 AM"
,finley.gonzalez@sample.org,Finley Gonzalez,MS,Psychologist,"Monday 12:30 PM, Monday 1:00 PM, Monday 2:00 PM, Monday 4:30 PM, Wednesday 12:00 PM, Thursday 8:30 AM, Thursday 12:30 PM, Thursday 1:30 PM, Thursday 2:00 PM, Thursday 5:00 PM, Friday 6:00 PM"
,cameron.hernandez@example.com,Cameron Hernandez,FL,Counselor,"Tuesday 2:00 PM, Tuesday 5:30 PM, Tuesday 6:00 PM, Wednesday 12:00 PM, Wednesday 3:30 PM, Friday 10:30 AM, Friday 1:00 PM, Friday 5:00 PM"
,elliot.reed@sample.org,Elliot Reed,IL,Counselor,"Monday 2:30 PM, Monday 3:30 PM, Monday 5:30 PM, Tuesday 8:00 AM, Tuesday 5:30 PM, Wednesday 9:30 AM, Wednesday 1:00 PM, Wednesday 3:30 PM, Wednesday 4:30 PM, Thursday 10:30 AM, Thursday 1:30 PM, Friday 3:00 PM"
,harper.cooper@example.com,Harper Cooper,NJ,Marriage and Family Therapist,"Monday 10:30 AM, Monday 1:30 PM, Monday 3:30 PM, Monday 6:00 PM, Tuesday 11:00 AM, Tuesday 4:30 PM, Tuesday 6:00 PM, Thursday 3:00 PM, Friday 9:30 AM, Friday 10:30 AM, Friday 11:00 AM, Friday 5:30 PM"
,logan.hernandez@example.com,Logan Hernandez,KS,Marriage and Family Therapist,"Monday 9:30 AM, Monday 11:00 AM, Tuesday 8:30 AM, Tuesday 2:00 PM, Tuesday 4:30 PM, Wednesday 12:30 PM, Thursday 9:00 AM, Friday 9:00 AM, Friday 6:00 PM"
,reese.moore@sample.org,Reese Moore,OK,Counselor,"Monday 2:30 PM, Monday 3:30 PM, Monday 4:30 PM, Wednesday 4:30 PM, Friday 4:30 PM, Friday 5:00 PM"
,cameron.gonzalez@example.com,Cameron Gonzalez,WY,Counselor,"Monday 1:00 PM, Tuesday 10:00 AM, Wednesday 10:30 AM, Wednesday 12:30 PM, Thursday 4:30 PM, Thursday 5:30 PM, Friday 9:30 AM"
,elliot.lee@mail.net,Elliot Lee,CA,Social Worker,"Monday 1:30 PM, Monday 4:00 PM, Tuesday 10:00 AM, Wednesday 3:00 PM, Thursday 5:30 PM, Friday 5:30 PM"
,elliot.patel@sample.org,Elliot Patel,NJ,Social Worker,"Monday 9:30 AM, Wednesday 11:00 AM, Wednesday 12:00 PM, Wednesday 2:30 PM, Thursday 8:00 AM, Thursday 1:00 PM, Friday 12:00 PM"
,finley.lee@mail.net,Finley Lee,MN,Counselor,"Monday 10:00 AM, Monday 5:30 PM, Tuesday 1:00 PM, Tuesday 3:00 PM, Wednesday 3:30 PM, Thursday 3:30 PM, Thursday 4:00 PM"
,dakota.brown@mail.net,Dakota Brown,NE,Psychologist,"Monday 1:30 PM, Monday 4:30 PM, Tuesday 10:00 AM, Tuesday 3:00 PM, Wednesday 11:30 AM, Wednesday 1:30 PM"
,emerson.nguyen@mail.net,Emerson Nguyen,ND,Counselor,"Monday 9:00 AM, Wednesday 9:00 AM, Wednesday 9:30 AM, Wednesday 11:00 AM, Wednesday 5:30 PM, Wednesday 6:00 PM, Thursday 11:00 AM, Friday 11:30 AM, Friday 4:00 PM, Friday 4:30 PM, Friday 5:00 PM"
,rowan.brown@mail.net,Rowan Brown,MO,Marriage and Family Therapist,"Monday 9:30 AM, Tuesday 11:30 AM, Tuesday 3:00 PM, Tuesday 5:30 PM, Thursday 2:30 PM, Friday 3:30 PM, Friday 5:30 PM"
,emerson.gonzalez@example.com,Emerson Gonzalez,NM,Marriage and Family Therapist,"Monday 2:00 PM, Monday 6:00 PM, Tuesday 12:00 PM, Tuesday 12:30 PM, Tuesday 1:00 PM, Tuesday 2:30 PM, Thursday 10:30 AM, Thursday 1:30 PM, Friday 8:00 AM, Friday 1:00 PM, Friday 4:30 PM, Friday 6:00 PM"
,casey.kim@example.com,Casey Kim,IA,Psychologist,"Tuesday 8:30 AM, Tuesday 12:30 PM, Tuesday 5:30 PM, Wednesday 9:30 AM, Thursday 2:00 PM, Friday 10:30 AM, Friday 1:00 PM, Friday 5:30 PM"
,peyton.lopez@mail.net,Peyton Lopez,"OR, GA, IL",Psychologist,"Monday 9:00 AM, Monday 10:00 AM, Monday 11:30 AM, Monday 1:30 PM, Tuesday 8:30 AM, Tuesday 11:30 AM, Tuesday 12:00 PM, Tuesday 5:00 PM, Wednesday 6:00 PM, Thursday 3:00 PM"
