Timestamp,Email Address,Name,State,License Type,Availability
,peyton.hernandez@example.com,Peyton Hernandez,UT,Counselor,"Monday 8:30 AM, Tuesday 8:00 AM, Thursday 10:00 AM, Thursday 12:30 PM, Thursday 3:30 PM, Thursday 6:00 PM"
,peyton.brooks@sample.org,Peyton Brooks,IN,Counselor,"Monday 1:30 PM, Monday 2:00 PM, Monday 3:30 PM, Monday 4:30 PM, Tuesday 11:00 AM, Wednesday 3:00 PM, Thursday 3:30 PM, Friday 9:30 AM, Friday 2:00 PM"
,cameron.clark@mail.net,Cameron Clark,ME,Social Worker,"Monday 11:00 AM, Tuesday 9:30 AM, Tuesday 10:30 AM, Tuesday 4:00 PM, Tuesday 4:30 PM, Wednesday 12:00 PM, Thursday 9:00 AM, Thursday 9:30 AM, Thursday 3:00 PM, Thursday 5:30 PM, Friday 8:00 AM, Friday 1:30 PM"
,dakota.clark@example.com,Dakota Clark,AR,Counselor,"Monday 10:30 AM, Monday 12:00 PM, Tuesday 3:30 PM, Wednesday 12:30 PM, Wednesday 4:30 PM, Thursday 9:30 AM, Friday 5:00 PM"
,jordan.lee@sample.org,Jordan Lee,OK,Psychologist,"Tuesday 10:00 AM, Tuesday 4:00 PM, Tuesday 4:30 PM, Wednesday 10:30 AM, Thursday 12:30 PM, Friday 4:00 PM"
,drew.bailey@example.com,Drew Bailey,AK,Counselor,"Monday 8:00 AM, Monday 8:30 AM, Wednesday 8:00 AM, Wednesday 9:00 AM, Wednesday 11:00 AM, Thursday 5:00 PM, Friday 8:00 AM, Friday 10:00 AM, Friday 1:00 PM, Friday 2:30 PM"
,finley.gonzalez@sample.org,Finley Gonzalez,MS,Psychologist,"Monday 12:30 PM, Monday 1:00 PM, Monday 2:00 PM, Monday 4:30 PM, Wednesday 12:00 PM, Thursday 8:30 AM, Thursday 12:30 PM, Thursday 1:30 PM, Thursday 2:00 PM, Thursday 5:00 PM, Friday 6:00 PM"
,emerson.nguyen@mail.net,Emerson Nguyen,ND,Counselor,"Monday 9:00 AM, Wednesday 9:00 AM, Wednesday 9:30 AM, Wednesday 11:00 AM, Wednesday 5:30 PM, Wednesday 6:00 PM, Thursday 11:00 AM, Friday 11:30 AM, Friday 4:00 PM, Friday 4:30 PM, Friday 5:00 PM"
,alex.kim@sample.org,Alex Kim,WY,Social Worker,"Tuesday 11:30 AM, Tuesday 5:30 PM, Thursday 12:30 PM, Thursday 3:00 PM, Thursday 3:30 PM, Thursday 5:00 PM, Friday 5:30 PM"
,hayden.cooper@mail.net,Hayden Cooper,NH,Social Worker,"Monday 9:00 AM, Monday 10:00 AM, Monday 12:30 PM, Monday 2:30 PM, Monday 6:00 PM, Tuesday 8:00 AM, Tuesday 2:00 PM, Tuesday 4:00 PM, Tuesday 5:30 PM, Wednesday 8:30 AM, Wednesday 11:00 AM, Friday 12:30 PM"
,skyler.martinez@mail.net,Skyler Martinez,IL,Social Worker,"Monday 1:00 PM, Tuesday 8:00 AM, Tuesday 10:30 AM, Tuesday 4:00 PM, Wednesday 5:00 PM, Thursday 5:00 PM"
,cameron.davis@mail.net,Cameron Davis,SC,Counselor,"Tuesday 8:00 AM, Tuesday 8:30 AM, Tuesday 11:00 AM, Wednesday 3:30 PM, Friday 2:00 PM, Friday 5:30 PM"
,avery.kim@mail.net,Avery Kim,WY,Social Worker,"Monday 10:00 AM, Monday 11:00 AM, Monday 11:30 AM, Tuesday 9:30 AM, Tuesday 10:00 AM, Tuesday 1:00 PM, Wednesday 4:00 PM"
,morgan.bailey@sample.org,Morgan Bailey,LA,Marriage and Family Therapist,"Monday 9:30 AM, Monday 3:30 PM, Tuesday 12:30 PM, Wednesday 10:30 AM, Wednesday 12:00 PM, Wednesday 3:30 PM, Wednesday 4:30 PM, Wednesday 6:00 PM, Thursday 8:30 AM, Thursday 2:30 PM, Thursday 5:00 PM, Friday 9:30 AM"
,emerson.lee@example.com,Emerson Lee,MI,Social Worker,"Tuesday 11:30 AM, Tuesday 5:00 PM, Wednesday 8:00 AM, Wednesday 9:30 AM, Wednesday 1:30 PM, Friday 1:30 PM, Friday 4:00 PM"
,riley.jenkins@sample.org,Riley Jenkins,ME,Psychologist,"Monday 11:00 AM, Monday 12:30 PM, Monday 3:30 PM, Tuesday 9:30 AM, Wednesday 11:00 AM, Wednesday 5:00 PM, Thursday 8:30 AM, Thursday 10:00 AM, Thursday 1:30 PM, Thursday 4:00 PM, Thursday 5:00 PM, Friday 9:30 AM"
,casey.garcia@sample.org,Casey Garcia,GA,Counselor,"Monday 5:00 PM, Tuesday 5:30 PM, Wednesday 8:30 AM, Wednesday 1:00 PM, Wednesday 4:00 PM, Thursday 12:30 PM, Friday 11:30 AM"
,casey.davis@example.com,Casey Davis,KS,Counselor,"Monday 10:30 AM, Monday 12:00 PM, Monday 2:30 PM, Monday 4:00 PM, Tuesday 8:00 AM, Tuesday 4:30 PM, Tuesday 5:00 PM, Wednesday 9:00 AM, Wednesday 11:30 AM, Thursday 8:30 AM, Thursday 2:00 PM"
,hayden.bailey@mail.net,Hayden Bailey,OH,Social Worker,"Monday 9:00 AM, Monday 11:00 AM, Monday 2:30 PM, Monday 3:00 PM, Wednesday 11:00 AM, Wednesday 1:30 PM, Wednesday 3:00 PM, Thursday 6:00 PM, Friday 8:00 AM, Friday 10:00 AM"
,kendall.davis@example.com,Kendall Davis,LA,Counselor,"Monday 2:30 PM, Monday 3:00 PM, Monday 3:30 PM, Tuesday 3:30 PM, Thursday 8:00 AM, Thursday 9:00 AM, Thursday 4:00 PM, Friday 12:00 PM, Friday 4:00 PM"
,alex.brown@sample.org,Alex Brown,AL,Social Worker,"Monday 12:30 PM, Monday 1:30 PM, Monday 2:00 PM, Monday 3:00 PM, Monday 5:30 PM, Thursday 8:00 AM, Thursday 9:00 AM, Thursday 1:00 PM, Friday 8:30 AM, Friday 12:00 PM, Friday 3:30 PM"
,harper.clark@sample.org,Harper Clark,HI,Social Worker,"Monday 11:00 AM, Tuesday 11:30 AM, Tuesday 12:30 PM, Tuesday 3:00 PM, Tuesday 6:00 PM, Wednesday 8:00 AM, Wednesday 11:00 AM, Wednesday 12:30 PM, Wednesday 6:00 PM, Thursday 8:30 AM, Thursday 11:30 AM, Thursday 5:30 PM"
,taylor.cooper@example.com,Taylor Cooper,NE,Social Worker,"Monday 8:00 AM, Monday 1:30 PM, Tuesday 4:30 PM, Thursday 9:00 AM, Thursday 11:30 AM, Thursday 12:00 PM, Thursday 3:00 PM, Thursday 4:00 PM, Thursday 5:00 PM, Friday 4:30 PM"
,sam.ramirez@mail.net,Sam Ramirez,OK,Psychologist,"Monday 2:30 PM, Monday 4:00 PM, Tuesday 8:30 AM, Wednesday 11:30 AM, Wednesday 5:30 PM, Thursday 9:00 AM, Thursday 1:30 PM, Friday 8:00 AM, Friday 10:00 AM, Friday 12:30 PM, Friday 3:30 PM, Friday 6:00 PM"
,avery.patel@mail.net,Avery Patel,MA,Psychologist,"Tuesday 1:00 PM, Tuesday 3:00 PM, Tuesday 4:00 PM, Wednesday 8:30 AM, Wednesday 12:00 PM, Wednesday 3:30 PM, Thursday 3:00 PM, Friday 10:00 AM, Friday 2:30 PM"
,jamie.chen@example.com,Jamie Chen,NH,Social Worker,"Tuesday 11:30 AM, Tuesday 12:30 PM, Wednesday 11:30 AM, Thursday 9:00 AM, Thursday 12:00 PM, Thursday 5:30 PM, Friday 9:00 AM, Friday 1:00 PM, Friday 1:30 PM, Friday 4:00 PM"
,peyton.nguyen@mail.net,Peyton Nguyen,ME,Psychologist,"Monday 12:30 PM, Monday 3:30 PM, Tuesday 8:30 AM, Tuesday 9:00 AM, Thursday 9:00 AM, Friday 9:30 AM, Friday 1:00 PM"
,dakota.garcia@sample.org,Dakota Garcia,LA,Marriage and Family Therapist,"Monday 8:00 AM, Monday 6:00 PM, Tuesday 1:30 PM, Wednesday 8:00 AM, Wednesday 4:30 PM, Thursday 1:30 PM, Friday 11:00 AM"
,finley.hernandez@sample.org,Finley Hernandez,ID,Social Worker,"Monday 1:30 PM, Monday 6:00 PM, Tuesday 11:00 AM, Tuesday 11:30 AM, Wednesday 8:00 AM, Wednesday 9:00 AM, Wednesday 12:30 PM, Wednesday 1:30 PM, Thursday 8:30 AM, Thursday 10:30 AM, Thursday 11:00 AM, Friday 8:00 AM"
,morgan.nguyen@sample.org,Morgan Nguyen,NC,Psychologist,"Monday 10:30 AM, Monday 1:00 PM, Monday 2:00 PM, Tuesday 8:00 AM, Tuesday 9:30 AM, Tuesday 4:00 PM, Tuesday 6:00 PM, Thursday 9:00 AM, Thursday 6:00 PM"
,rowan.brooks@example.com,Rowan Brooks,KY,Social Worker,"Monday 9:00 AM, Tuesday 12:00 PM, Tuesday 2:00 PM, Tuesday 5:30 PM, Wednesday 11:30 AM, Wednesday 12:30 PM, Wednesday 1:00 PM, Wednesday 2:30 PM, Wednesday 3:30 PM, Thursday 4:30 PM"
,morgan.brooks@sample.org,Morgan Brooks,OH,Social Worker,"Monday 10:30 AM, Monday 12:00 PM, Monday 12:30 PM, Wednesday 9:30 AM, Thursday 8:30 AM, Thursday 1:30 PM, Thursday 4:00 PM, Friday 10:30 AM, Friday 12:00 PM, Friday 1:30 PM, Friday 2:00 PM"
,avery.davis@mail.net,Avery Davis,IL,Social Worker,"Monday 11:00 AM, Wednesday 4:30 PM, Thursday 11:30 AM, Thursday 12:30 PM, Friday 8:30 AM, Friday 2:00 PM, Friday 5:00 PM"
,harper.moore@mail.net,Harper Moore,ME,Social Worker,"Monday 2:00 PM, Monday 4:00 PM, Tuesday 10:00 AM, Wednesday 8:00 AM, Wednesday 9:30 AM, Wednesday 6:00 PM, Thursday 1:30 PM, Friday 12:00 PM"
,casey.lopez@mail.net,Casey Lopez,CT,Marriage and Family Therapist,"Monday 12:00 PM, Tuesday 9:30 AM, Tuesday 5:00 PM, Tuesday 5:30 PM, Wednesday 8:00 AM, Wednesday 3:30 PM, Wednesday 6:00 PM, Thursday 3:30 PM, Friday 8:00 AM, Friday 10:00 AM"
,drew.kim@mail.net,Drew Kim,OR,Marriage and Family Therapist,"Monday 8:00 AM, Tuesday 8:00 AM, Tuesday 11:30 AM, Tuesday 1:00 PM, Tuesday 3:00 PM, Tuesday 5:30 PM, Wednesday 2:00 PM, Wednesday 2:30 PM, Thursday 5:30 PM, Friday 11:30 AM, Friday 1:00 PM, Friday 4:00 PM"
,logan.kim@mail.net,Logan Kim,LA,Counselor,"Monday 9:00 AM, Monday 9:30 AM, Monday 12:30 PM, Tuesday 10:00 AM, Tuesday 2:00 PM, Thursday 8:30 AM, Thursday 1:30 PM, Thursday 4:30 PM, Friday 12:30 PM, Friday 6:00 PM"
,morgan.chen@mail.net,Morgan Chen,MS,Psychologist,"Monday 10:30 AM, Monday 2:30 PM, Tuesday 3:00 PM, Tuesday 6:00 PM, Wednesday 4:00 PM, Thursday 9:30 AM, Thursday 5:00 PM, Thursday 6:00 PM, Friday 11:00 AM"
