assoc_idx,sup_idx,Associate,Associate Email,Associate State,Associate License,Associate Availability,Supervisor,Supervisor Email,Supervisor State,Who can you supervise?,Supervisor Availability,Capacity,AvailabilityOverlap,AvailabilityScore,Label,Reason
7,100,Taylor Lopez,taylor.lopez@mail.net,WI,Psychologist,"Tuesday 10:30 AM, Tuesday 12:30 PM, Wednesday 12:00 PM, Thursday 11:30 AM, Thursday 3:00 PM, Friday 10:30 AM, Friday 11:00 AM",Alex Parker,alex.parker@mail.net,WI,Psychologist,"Monday 9:00 AM, Monday 11:00 AM, Monday 1:30 PM, Tuesday 11:00 AM, Tuesday 12:30 PM, Tuesday 3:30 PM, Tuesday 5:00 PM, Wednesday 9:30 AM, Wednesday 12:00 PM, Wednesday 4:00 PM, Wednesday 4:30 PM, Wednesday 5:00 PM, Thursday 8:00 AM, Thursday 8:30 AM, Thursday 1:30 PM, Thursday 2:30 PM, Thursday 6:00 PM, Friday 9:00 AM",2,2,0.6163890591878398,1,good_match
8,86,Morgan Patel,morgan.patel@sample.org,MO,Psychologist,"Monday 2:00 PM, Tuesday 2:00 PM, Tuesday 5:00 PM, Wednesday 9:30 AM, Wednesday 10:00 AM, Wednesday 4:30 PM, Thursday 8:00 AM, Thursday 9:00 AM, Thursday 6:00 PM, Friday 5:00 PM",Drew Parker,drew.parker@sample.org,"MO, NM",Psychologist,"Monday 9:00 AM, Monday 12:00 PM, Monday 2:30 PM, Tuesday 12:30 PM, Tuesday 1:30 PM, Wednesday 9:00 AM, Wednesday 9:30 AM, Thursday 1:30 PM, Thursday 4:30 PM, Friday 8:00 AM, Friday 12:30 PM, Friday 1:00 PM, Friday 1:30 PM, Friday 3:00 PM, Friday 4:00 PM",3,1,0.6229470762503091,0,sampled_negative
9,50,Jamie Bennett,jamie.bennett@mail.net,MA,Counselor,"Monday 9:00 AM, Monday 10:30 AM, Monday 5:00 PM, Tuesday 11:30 AM, Tuesday 5:30 PM, Wednesday 1:00 PM, Thursday 12:30 PM, Friday 1:00 PM",Sam Davis,sam.davis@mail.net,MA,Counselor,"Monday 10:30 AM, Monday 5:30 PM, Tuesday 12:00 PM, Tuesday 5:30 PM, Wednesday 11:00 AM, Wednesday 11:30 AM, Wednesday 1:00 PM, Wednesday 5:00 PM, Thursday 8:00 AM, Thursday 6:00 PM, Friday 8:00 AM, Friday 11:00 AM, Friday 1:30 PM, Friday 3:30 PM, Friday 4:30 PM, Friday 5:30 PM",3,3,0.6985110063803638,1,good_match
9,63,Jamie Bennett,jamie.bennett@mail.net,MA,Counselor,"Monday 9:00 AM, Monday 10:30 AM, Monday 5:00 PM, Tuesday 11:30 AM, Tuesday 5:30 PM, Wednesday 1:00 PM, Thursday 12:30 PM, Friday 1:00 PM",Riley Ramirez,riley.ramirez@example.com,"PA, MA",Counselor,"Monday 11:00 AM, Monday 12:00 PM, Monday 3:00 PM, Monday 4:00 PM, Wednesday 10:00 AM, Wednesday 1:30 PM, Wednesday 3:30 PM, Wednesday 5:00 PM, Thursday 9:00 AM, Thursday 10:00 AM, Thursday 2:00 PM, Friday 1:00 PM, Friday 1:30 PM, Friday 3:30 PM",6,1,0.6825420303531042,1,good_match
11,61,Hayden Lee,hayden.lee@mail.net,UT,Marriage and Family Therapist,"Tuesday 8:00 AM, Wednesday 4:00 PM, Wednesday 6:00 PM, Thursday 5:30 PM, Friday 12:00 PM, Friday 12:30 PM, Friday 1:00 PM, Friday 2:30 PM",Avery Ramirez,avery.ramirez@sample.org,UT,"Marriage and Family Therapist, Social Worker","Monday 9:00 AM, Monday 11:00 AM, Monday 1:30 PM, Monday 3:30 PM, Monday 4:00 PM, Tuesday 9:30 AM, Tuesday 11:00 AM, Tuesday 1:00 PM, Tuesday 3:00 PM, Wednesday 8:00 AM, Wednesday 4:00 PM, Thursday 2:30 PM, Thursday 5:00 PM, Thursday 5:30 PM, Friday 8:00 AM, Friday 4:00 PM",3,2,0.6887141421537597,1,good_match
12,10,Casey Ramirez,casey.ramirez@sample.org,WA,Psychologist,"Monday 10:00 AM, Monday 11:30 AM, Monday 12:30 PM, Thursday 10:00 AM, Thursday 11:00 AM, Thursday 5:30 PM, Friday 6:00 PM",Harper Bailey,harper.bailey@example.com,WA,"Psychologist, Social Worker, Counselor","Monday 11:00 AM, Monday 11:30 AM, Monday 2:00 PM, Tuesday 9:30 AM, Wednesday 8:30 AM, Wednesday 9:30 AM, Wednesday 12:30 PM, Wednesday 1:00 PM, Wednesday 2:00 PM, Wednesday 2:30 PM, Wednesday 4:30 PM, Thursday 5:30 PM, Thursday 6:00 PM, Friday 8:00 AM, Friday 9:00 AM, Friday 12:30 PM",2,2,0.5504332812898686,1,good_match
12,105,Casey Ramirez,casey.ramirez@sample.org,WA,Psychologist,"Monday 10:00 AM, Monday 11:30 AM, Monday 12:30 PM, Thursday 10:00 AM, Thursday 11:00 AM, Thursday 5:30 PM, Friday 6:00 PM",Hayden Wilson,hayden.wilson@example.com,WA,"Psychologist, Social Worker, Marriage and Family Therapist","Monday 9:00 AM, Monday 3:00 PM, Monday 5:30 PM, Tuesday 9:30 AM, Tuesday 5:30 PM, Wednesday 1:00 PM, Wednesday 1:30 PM, Wednesday 3:00 PM, Thursday 1:00 PM, Friday 10:30 AM",5,0,0.46255709876309936,1,good_match
13,117,Peyton Gonzalez,peyton.gonzalez@mail.net,AL,Psychologist,"Monday 8:30 AM, Monday 12:00 PM, Monday 5:30 PM, Tuesday 11:00 AM, Tuesday 12:00 PM, Thursday 4:30 PM, Friday 11:00 AM",Sam Hernandez,sam.hernandez@mail.net,"AL, WV, IN","Social Worker, Psychologist, Counselor","Monday 10:00 AM, Monday 11:30 AM, Monday 12:00 PM, Monday 4:30 PM, Tuesday 9:00 AM, Tuesday 3:30 PM, Wednesday 10:30 AM, Wednesday 1:00 PM, Wednesday 1:30 PM, Wednesday 5:00 PM, Thursday 11:00 AM, Thursday 5:30 PM, Friday 10:30 AM, Friday 12:30 PM, Friday 3:00 PM",5,1,0.6808273006377628,1,good_match
14,17,Skyler Wilson,skyler.wilson@mail.net,AR,Psychologist,"Monday 8:00 AM, Monday 8:30 AM, Monday 9:00 AM, Tuesday 3:00 PM, Tuesday 3:30 PM, Wednesday 1:00 PM, Wednesday 6:00 PM, Thursday 10:00 AM, Thursday 10:30 AM, Thursday 11:30 AM, Friday 12:00 PM",Elliot Moore,elliot.moore@mail.net,AR,Psychologist,"Monday 8:00 AM, Monday 10:30 AM, Monday 4:00 PM, Monday 6:00 PM, Tuesday 2:00 PM, Wednesday 8:00 AM, Wednesday 2:00 PM, Wednesday 3:00 PM, Thursday 11:30 AM, Thursday 12:00 PM, Thursday 5:00 PM, Friday 11:00 AM, Friday 1:00 PM, Friday 3:00 PM",0,2,0.784840949598712,0,capacity_full
15,1,Alex Gonzalez,alex.gonzalez@example.com,VT,Psychologist,"Monday 2:00 PM, Monday 2:30 PM, Monday 5:30 PM, Tuesday 8:30 AM, Tuesday 9:30 AM, Tuesday 12:30 PM, Tuesday 1:30 PM, Tuesday 2:30 PM, Wednesday 9:30 AM, Thursday 10:00 AM, Thursday 4:00 PM, Friday 6:00 PM",Jamie Garcia,jamie.garcia@example.com,VT,"Psychologist, Social Worker, Counselor","Monday 8:00 AM, Monday 1:30 PM, Monday 2:00 PM, Monday 2:30 PM, Monday 5:30 PM, Monday 6:00 PM, Tuesday 11:00 AM, Tuesday 3:00 PM, Wednesday 8:30 AM, Wednesday 11:00 AM, Wednesday 2:00 PM, Friday 10:30 AM, Friday 2:30 PM, Friday 5:30 PM",4,3,0.7001125309698983,1,good_match
15,26,Alex Gonzalez,alex.gonzalez@example.com,VT,Psychologist,"Monday 2:00 PM, Monday 2:30 PM, Monday 5:30 PM, Tuesday 8:30 AM, Tuesday 9:30 AM, Tuesday 12:30 PM, Tuesday 1:30 PM, Tuesday 2:30 PM, Wednesday 9:30 AM, Thursday 10:00 AM, Thursday 4:00 PM, Friday 6:00 PM",Cameron Patel,cameron.patel@example.com,VT,"Psychologist, Social Worker, Marriage and Family Therapist","Monday 4:30 PM, Tuesday 5:30 PM, Wednesday 3:00 PM, Wednesday 4:00 PM, Wednesday 4:30 PM, Thursday 10:00 AM, Thursday 12:00 PM, Thursday 2:30 PM, Friday 8:30 AM, Friday 2:00 PM, Friday 5:00 PM",6,1,0.7339955867040556,1,good_match
15,39,Alex Gonzalez,alex.gonzalez@example.com,VT,Psychologist,"Monday 2:00 PM, Monday 2:30 PM, Monday 5:30 PM, Tuesday 8:30 AM, Tuesday 9:30 AM, Tuesday 12:30 PM, Tuesday 1:30 PM, Tuesday 2:30 PM, Wednesday 9:30 AM, Thursday 10:00 AM, Thursday 4:00 PM, Friday 6:00 PM",Kendall Chen,kendall.chen@example.com,VT,Psychologist,"Monday 8:30 AM, Monday 11:00 AM, Monday 3:00 PM, Tuesday 9:00 AM, Tuesday 1:30 PM, Tuesday 3:30 PM, Wednesday 8:30 AM, Wednesday 3:00 PM, Wednesday 5:00 PM, Wednesday 5:30 PM, Thursday 1:00 PM",5,1,0.7352038169064715,1,good_match
16,108,Quinn Cooper,quinn.cooper@sample.org,MT,Psychologist,"Monday 10:00 AM, Monday 1:00 PM, Monday 1:30 PM, Tuesday 11:30 AM, Tuesday 1:00 PM, Tuesday 4:30 PM, Thursday 6:00 PM, Friday 9:30 AM, Friday 10:30 AM, Friday 2:30 PM",Skyler Cooper,skyler.cooper@sample.org,MT,"Counselor, Psychologist","Monday 1:00 PM, Tuesday 11:00 AM, Tuesday 1:30 PM, Tuesday 3:30 PM, Wednesday 9:00 AM, Wednesday 3:00 PM, Wednesday 5:30 PM, Thursday 6:00 PM, Friday 11:30 AM, Friday 1:30 PM",6,2,0.7550286941555064,1,good_match
19,64,Peyton Bennett,peyton.bennett@mail.net,AZ,Counselor,"Monday 9:00 AM, Monday 12:30 PM, Monday 5:00 PM, Monday 6:00 PM, Tuesday 10:30 AM, Tuesday 4:30 PM, Tuesday 5:30 PM, Wednesday 12:00 PM, Thursday 12:30 PM, Thursday 2:00 PM, Friday 11:30 AM, Friday 2:00 PM",Reese Chen,reese.chen@example.com,AZ,"Marriage and Family Therapist, Counselor, Social Worker","Monday 12:30 PM, Monday 1:00 PM, Monday 2:30 PM, Wednesday 12:30 PM, Wednesday 2:00 PM, Wednesday 3:00 PM, Wednesday 5:30 PM, Wednesday 6:00 PM, Friday 9:30 AM, Friday 11:30 AM",3,2,0.7677185764025667,1,good_match
20,118,Logan Patel,logan.patel@example.com,MO,Marriage and Family Therapist,"Monday 1:00 PM, Monday 4:30 PM, Thursday 8:30 AM, Friday 10:00 AM, Friday 12:00 PM, Friday 1:00 PM, Friday 1:30 PM, Friday 2:00 PM, Friday 4:30 PM",Drew Cooper,drew.cooper@sample.org,MO,"Social Worker, Marriage and Family Therapist","Monday 8:00 AM, Monday 9:00 AM, Monday 3:30 PM, Monday 4:00 PM, Monday 4:30 PM, Tuesday 8:30 AM, Tuesday 11:30 AM, Tuesday 4:30 PM, Wednesday 9:00 AM, Wednesday 12:00 PM, Wednesday 4:30 PM, Thursday 10:00 AM, Thursday 10:30 AM, Thursday 6:00 PM, Friday 9:00 AM, Friday 12:00 PM, Friday 12:30 PM, Friday 2:00 PM",6,3,0.767816542551954,1,good_match
21,5,Morgan Brown,morgan.brown@sample.org,NV,Counselor,"Monday 9:30 AM, Monday 12:30 PM, Tuesday 2:30 PM, Tuesday 6:00 PM, Wednesday 8:30 AM, Wednesday 12:00 PM, Thursday 2:30 PM, Thursday 3:00 PM, Thursday 3:30 PM, Thursday 5:00 PM, Friday 3:00 PM, Friday 3:30 PM",Hayden Moore,hayden.moore@sample.org,NV,"Psychologist, Counselor, Social Worker","Monday 11:00 AM, Monday 1:30 PM, Monday 3:00 PM, Monday 5:30 PM, Monday 6:00 PM, Wednesday 2:00 PM, Thursday 8:00 AM, Thursday 9:00 AM, Thursday 4:30 PM, Friday 9:30 AM, Friday 2:00 PM, Friday 4:30 PM",5,0,0.7408056593079371,1,good_match
22,29,Reese Jenkins,reese.jenkins@sample.org,MN,Psychologist,"Monday 1:00 PM, Tuesday 9:00 AM, Tuesday 4:00 PM, Wednesday 11:00 AM, Thursday 1:30 PM, Thursday 4:00 PM, Friday 8:00 AM, Friday 9:30 AM, Friday 3:00 PM",Peyton Jenkins,peyton.jenkins@sample.org,MN,"Psychologist, Counselor","Monday 9:30 AM, Tuesday 8:00 AM, Tuesday 11:30 AM, Tuesday 2:30 PM, Wednesday 8:30 AM, Wednesday 11:30 AM, Wednesday 12:30 PM, Wednesday 2:30 PM, Wednesday 4:30 PM, Wednesday 6:00 PM, Thursday 11:00 AM, Thursday 3:00 PM, Friday 8:30 AM, Friday 9:00 AM, Friday 12:00 PM, Friday 1:00 PM, Friday 1:30 PM, Friday 5:00 PM",6,0,0.7604237557357696,1,good_match
22,99,Reese Jenkins,reese.jenkins@sample.org,MN,Psychologist,"Monday 1:00 PM, Tuesday 9:00 AM, Tuesday 4:00 PM, Wednesday 11:00 AM, Thursday 1:30 PM, Thursday 4:00 PM, Friday 8:00 AM, Friday 9:30 AM, Friday 3:00 PM",Jordan Ramirez,jordan.ramirez@mail.net,MN,"Counselor, Psychologist","Monday 11:00 AM, Monday 2:00 PM, Monday 2:30 PM, Monday 3:30 PM, Monday 5:00 PM, Monday 6:00 PM, Tuesday 12:30 PM, Tuesday 1:00 PM, Tuesday 2:30 PM, Tuesday 4:00 PM, Tuesday 5:30 PM, Wednesday 11:30 AM, Wednesday 1:30 PM, Wednesday 3:30 PM, Wednesday 4:30 PM, Thursday 12:00 PM, Thursday 3:30 PM, Friday 6:00 PM",6,1,0.6898427948221849,0,sampled_negative
23,8,Morgan Rivera,morgan.rivera@example.com,CO,Marriage and Family Therapist,"Monday 5:30 PM, Wednesday 11:00 AM, Wednesday 11:30 AM, Thursday 5:00 PM, Friday 11:30 AM, Friday 1:00 PM, Friday 4:00 PM",Kendall Ramirez,kendall.ramirez@mail.net,CO,"Psychologist, Social Worker, Marriage and Family Therapist","Tuesday 8:00 AM, Tuesday 11:00 AM, Tuesday 2:00 PM, Wednesday 2:00 PM, Wednesday 5:00 PM, Thursday 10:00 AM, Thursday 11:00 AM, Thursday 11:30 AM, Thursday 3:00 PM, Friday 8:00 AM, Friday 12:30 PM, Friday 2:00 PM",4,0,0.6266239031436853,0,sampled_negative
23,57,Morgan Rivera,morgan.rivera@example.com,CO,Marriage and Family Therapist,"Monday 5:30 PM, Wednesday 11:00 AM, Wednesday 11:30 AM, Thursday 5:00 PM, Friday 11:30 AM, Friday 1:00 PM, Friday 4:00 PM",Sam Brooks,sam.brooks@sample.org,CO,"Marriage and Family Therapist, Psychologist","Monday 4:00 PM, Tuesday 8:00 AM, Tuesday 8:30 AM, Tuesday 10:00 AM, Tuesday 1:30 PM, Tuesday 2:30 PM, Tuesday 4:00 PM, Wednesday 8:30 AM, Wednesday 10:00 AM, Wednesday 5:30 PM, Thursday 8:30 AM, Thursday 10:00 AM, Thursday 11:00 AM, Friday 1:30 PM, Friday 4:00 PM, Friday 5:30 PM",5,1,0.5177669694887748,1,good_match
23,95,Morgan Rivera,morgan.rivera@example.com,CO,Marriage and Family Therapist,"Monday 5:30 PM, Wednesday 11:00 AM, Wednesday 11:30 AM, Thursday 5:00 PM, Friday 11:30 AM, Friday 1:00 PM, Friday 4:00 PM",Taylor Bennett,taylor.bennett@example.com,CO,Marriage and Family Therapist,"Monday 12:30 PM, Monday 4:00 PM, Tuesday 5:30 PM, Wednesday 9:00 AM, Wednesday 1:00 PM, Wednesday 3:30 PM, Wednesday 4:30 PM, Wednesday 5:30 PM, Thursday 9:30 AM, Thursday 10:00 AM, Thursday 1:00 PM, Thursday 5:30 PM, Friday 9:30 AM, Friday 11:30 AM, Friday 12:00 PM, Friday 3:00 PM",6,1,0.6699853561499619,1,good_match
24,8,Riley Patel,riley.patel@sample.org,CO,Social Worker,"Monday 1:30 PM, Monday 2:30 PM, Monday 4:00 PM, Tuesday 9:00 AM, Tuesday 2:30 PM, Wednesday 10:00 AM, Wednesday 3:00 PM, Friday 2:30 PM",Kendall Ramirez,kendall.ramirez@mail.net,CO,"Psychologist, Social Worker, Marriage and Family Therapist","Tuesday 8:00 AM, Tuesday 11:00 AM, Tuesday 2:00 PM, Wednesday 2:00 PM, Wednesday 5:00 PM, Thursday 10:00 AM, Thursday 11:00 AM, Thursday 11:30 AM, Thursday 3:00 PM, Friday 8:00 AM, Friday 12:30 PM, Friday 2:00 PM",4,0,0.557318619804513,1,good_match
24,48,Riley Patel,riley.patel@sample.org,CO,Social Worker,"Monday 1:30 PM, Monday 2:30 PM, Monday 4:00 PM, Tuesday 9:00 AM, Tuesday 2:30 PM, Wednesday 10:00 AM, Wednesday 3:00 PM, Friday 2:30 PM",Riley Reed,riley.reed@example.com,CO,Social Worker,"Monday 3:30 PM, Monday 5:00 PM, Monday 5:30 PM, Tuesday 1:00 PM, Tuesday 2:30 PM, Tuesday 4:00 PM, Wednesday 11:30 AM, Wednesday 1:30 PM, Wednesday 4:00 PM, Wednesday 5:00 PM, Wednesday 5:30 PM, Thursday 8:00 AM, Thursday 9:00 AM, Thursday 11:30 AM, Thursday 5:30 PM, Friday 11:00 AM, Friday 11:30 AM",6,1,0.7541951738075433,0,sampled_negative
24,76,Riley Patel,riley.patel@sample.org,CO,Social Worker,"Monday 1:30 PM, Monday 2:30 PM, Monday 4:00 PM, Tuesday 9:00 AM, Tuesday 2:30 PM, Wednesday 10:00 AM, Wednesday 3:00 PM, Friday 2:30 PM",Quinn Reed,quinn.reed@example.com,"CA, TN, CO","Psychologist, Counselor, Social Worker","Monday 11:30 AM, Monday 1:00 PM, Monday 2:30 PM, Monday 5:30 PM, Tuesday 8:30 AM, Tuesday 9:30 AM, Tuesday 6:00 PM, Wednesday 8:30 AM, Wednesday 3:30 PM, Wednesday 5:00 PM, Thursday 8:30 AM, Thursday 1:00 PM, Thursday 3:00 PM, Thursday 5:30 PM, Thursday 6:00 PM, Friday 11:30 AM, Friday 5:30 PM",0,1,0.7516752119487304,0,capacity_full
27,49,Casey Nguyen,casey.nguyen@mail.net,FL,Marriage and Family Therapist,"Monday 12:00 PM, Monday 5:00 PM, Tuesday 8:00 AM, Tuesday 2:30 PM, Tuesday 3:00 PM, Wednesday 1:30 PM, Wednesday 2:30 PM, Thursday 8:00 AM",Elliot Chen,elliot.chen@mail.net,FL,Marriage and Family Therapist,"Monday 8:00 AM, Monday 5:30 PM, Tuesday 2:30 PM, Tuesday 3:30 PM, Tuesday 4:30 PM, Wednesday 8:30 AM, Wednesday 3:30 PM, Wednesday 5:30 PM, Wednesday 6:00 PM, Thursday 8:30 AM, Thursday 10:30 AM, Thursday 1:30 PM, Thursday 2:00 PM, Friday 8:00 AM, Friday 12:00 PM, Friday 4:00 PM",6,1,0.7917362297395789,1,good_match
27,71,Casey Nguyen,casey.nguyen@mail.net,FL,Marriage and Family Therapist,"Monday 12:00 PM, Monday 5:00 PM, Tuesday 8:00 AM, Tuesday 2:30 PM, Tuesday 3:00 PM, Wednesday 1:30 PM, Wednesday 2:30 PM, Thursday 8:00 AM",Elliot Clark,elliot.clark@example.com,"IN, WY, FL","Marriage and Family Therapist, Counselor","Monday 8:00 AM, Monday 4:00 PM, Tuesday 8:30 AM, Tuesday 12:00 PM, Wednesday 11:00 AM, Wednesday 2:30 PM, Thursday 8:00 AM, Thursday 8:30 AM, Thursday 10:30 AM, Friday 11:00 AM, Friday 1:30 PM",4,2,0.6513467906095662,0,sampled_negative
